year,quarter,cb_rate
1993,0,80.0
1993,1,100.0
1993,2,160.0
1993,3,200.0
1994,0,210.0
1994,1,205.0
1994,2,145.0
1994,3,160.0
1995,0,193.333333
1995,1,198.333333
1995,2,180.0
1995,3,170.0
1996,0,146.666667
1996,1,120.0
1996,2,103.333333
1996,3,66.666667
1997,0,46.0
1997,1,38.0
1997,2,24.0
1997,3,24.333333
1998,0,31.666667
1998,1,70.0
1998,2,66.666667
1998,3,60.0
1999,0,60.0
1999,1,60.0
1999,2,55.0
1999,3,55.0
2000,0,48.333333
2000,1,33.0
2000,2,29.666667
2000,3,27.0
2001,0,25.0
2001,1,25.0
2001,2,25.0
2001,3,25.0
2002,0,25.0
2002,1,23.666667
2002,2,22.333333
2002,3,21.0
2003,0,20.0
2003,1,18.0
2003,2,16.0
2003,3,16.0
2004,0,14.666667
2004,1,14.0
2004,2,13.0
2004,3,13.0
2005,0,13.0
2005,1,13.0
2005,2,13.0
2005,3,13.0
2006,0,12.0
2006,1,12.0
2006,2,11.5
2006,3,11.166667
2007,0,10.666667
2007,1,10.5
2007,2,10.0
2007,3,10.0
2008,0,10.083333
2008,1,10.416667
2008,2,10.916667
2008,3,11.666667
2009,0,13.0
2009,1,12.5
2009,2,11.083333
2009,3,9.5
2010,0,8.666667
2010,1,8.0
2010,2,7.75
2010,3,7.75
2011,0,7.833333
2011,1,8.083333
2011,2,8.25
2011,3,8.25
2012,0,8.0
2012,1,8.0
2012,2,8.0
2012,3,8.25
2013,0,8.25
2013,1,8.25
2013,2,8.25
2013,3,5.5
2014,0,5.5
2014,1,7.333333
2014,2,7.833333
2014,3,8.5
2015,0,16.333333
2015,1,13.5
2015,2,11.333333
2015,3,11.0
2016,0,11.0
2016,1,11.0
2016,2,10.5
2016,3,10.0
2017,0,10.0
2017,1,9.583333
2017,2,9.0
2017,3,8.333333
2018,0,7.666667
2018,1,7.25
2018,2,7.25
2018,3,7.5
2019,0,7.75
2019,1,7.75
2019,2,7.333333
2019,3,6.666667
2020,0,6.166667
2020,1,5.666667
2020,2,4.333333
2020,3,4.25
2021,0,4.25
2021,1,4.833333
2021,2,6.166667
2021,3,7.25
2022,0,12.333333
2022,1,16.0
2022,2,8.5
2022,3,7.5
2023,0,7.5
2023,1,7.5
2023,2,9.333333
2023,3,14.333333
