year,quarter,yuan
1993,0,146.99
1993,1,182.5
1993,2,170.1
1993,3,169.96
1993,4,202.11
1993,5,212.55
1994,0,429.11
1994,1,180.0
1994,2,195.1
1994,3,205.0
1994,4,215.0
1994,5,222.0
1994,6,234.0
1994,7,241.0
1994,8,260.12
1994,9,332.12
1994,10,363.92
1994,11,388.83
1995,0,429.11
1995,1,479.71
1995,2,550.56
1995,3,588.36
1995,4,617.29
1995,5,590.38
1995,6,549.93
1995,7,530.65
1995,8,538.53
1995,9,539.94
1995,10,542.89
1995,11,550.94
1996,0,561.26
1996,1,570.21
1996,2,579.02
1996,3,584.91
1996,4,593.04
1996,5,602.73
1996,6,612.58
1996,7,623.24
1996,8,643.83
1996,9,649.99
1996,10,657.35
1996,11,663.88
1997,0,670.02
1997,1,678.7
1997,2,684.28
1997,3,690.18
1997,4,694.64
1997,5,696.18
1997,6,697.38
1997,7,699.37
1997,8,702.86
1997,9,707.3
1997,10,710.72
1997,11,714.6
1998,0,7.1986
1998,1,7.2779
1998,2,7.3318
1998,3,7.3751
1998,4,7.4086
1998,5,7.4471
1998,6,7.4858
1998,7,7.5339
1998,8,9.5471
1998,9,19.4056
1998,10,19.4013
1998,11,21.5999
1999,0,24.94
1999,1,27.51
1999,2,27.59
1999,3,29.2
1999,4,29.27
1999,5,29.52
1999,6,29.26
1999,7,29.25
1999,8,29.9
1999,9,30.3
1999,10,31.52
1999,11,31.91
2000,0,32.61
2000,1,34.49
2000,2,34.62
2000,3,34.38
2000,4,34.34
2000,5,34.13
2000,6,33.91
2000,7,33.58
2000,8,33.51
2000,9,33.52
2000,10,33.62
2000,11,33.64
2001,0,34.02
2001,1,34.27
2001,2,34.7
2001,3,34.74
2001,4,34.83
2001,5,35.15
2001,6,35.17
2001,7,35.36
2001,8,35.48
2001,9,35.52
2001,10,35.88
2001,11,36.12
2002,0,36.4117
2002,1,37.0744
2002,2,37.3673
2002,3,37.5361
2002,4,37.6903
2002,5,37.8265
2002,6,37.9827
2002,7,37.9863
2002,8,38.1485
2002,9,38.2204
2002,10,38.3473
2002,11,38.4671
2003,0,38.399
2003,1,38.4484
2003,2,38.1475
2003,3,37.9111
2003,4,37.574
2003,5,37.0543
2003,6,36.6649
2003,7,36.5569
2003,8,36.8534
2003,9,36.9838
2003,10,36.0748
2003,11,35.9267
2004,0,35.586
2004,1,34.4222
2004,2,34.4461
2004,3,34.4146
2004,4,34.8968
2004,5,35.0196
2004,6,35.1453
2004,7,35.1453
2004,8,35.3338
2004,9,35.3008
2004,10,34.7711
2004,11,34.1167
2005,0,33.5271
2005,1,33.9328
2005,2,33.5574
2005,3,33.62
2005,4,33.5818
2005,5,33.9418
2005,6,34.6428
2005,7,35.3536
2005,8,35.2608
2005,9,35.223
2005,10,35.1591
2005,11,35.5602
2006,0,35.6705
2006,1,34.8823
2006,2,34.9749
2006,3,34.5951
2006,4,33.6098
2006,5,33.8461
2006,6,33.6938
2006,7,33.5945
2006,8,33.8686
2006,9,33.9528
2006,10,33.5724
2006,11,33.7155
2007,0,34.1196
2007,1,33.7591
2007,2,33.6455
2007,3,33.2618
2007,4,33.8722
2007,5,33.8973
2007,6,33.8198
2007,7,33.9682
2007,8,33.1949
2007,9,33.0753
2007,10,32.9842
2007,11,33.6038
2008,0,34.0163
2008,1,33.8825
2008,2,33.5291
2008,3,33.8347
2008,4,34.1973
2008,5,34.1819
2008,6,34.3068
2008,7,35.9212
2008,8,36.8824
2008,9,38.8101
2008,10,40.4034
2008,11,42.9676
2009,0,51.778
2009,1,52.2222
2009,2,49.757
2009,3,48.7138
2009,4,45.3763
2009,5,45.7884
2009,6,46.4724
2009,7,46.2118
2009,8,44.0737
2009,9,42.5387
2009,10,43.6611
2009,11,44.3002
2010,0,44.5767
2010,1,43.8734
2010,2,43.0182
2010,3,42.9074
2010,4,44.6423
2010,5,45.908
2010,6,44.5682
2010,7,45.0471
2010,8,45.4781
2010,9,46.11
2010,10,46.973
2010,11,46.1701
2011,0,45.047
2011,1,44.0153
2011,2,43.3442
2011,3,42.3678
2011,4,43.2955
2011,5,43.4294
2011,6,42.9687
2011,7,45.2288
2011,8,49.8235
2011,9,47.0837
2011,10,49.0973
2011,11,51.1106
2012,0,48.0219
2012,1,45.9456
2012,2,46.563
2012,3,46.5343
2012,4,51.0636
2012,5,51.6436
2012,6,50.4634
2012,7,50.8461
2012,8,49.1634
2012,9,50.5074
2012,10,49.8643
2012,11,48.7406
2013,0,48.2729
2013,1,49.1725
2013,2,50.0594
2013,3,50.6989
2013,4,51.5247
2013,5,53.259
2013,6,53.6351
2013,7,54.3276
2013,8,52.8549
2013,9,52.6294
2013,10,54.4705
2013,11,53.9934
2014,0,58.202
2014,1,58.8141
2014,2,57.4847
2014,3,57.0625
2014,4,55.6288
2014,5,54.0876
2014,6,57.8352
2014,7,60.1002
2014,8,64.1267
2014,9,70.9567
2014,10,80.2832
2014,11,90.7072
2015,0,9.0617
2015,1,111.288
2015,2,99.1962
2015,3,92.9884
2015,4,82.4394
2015,5,85.2011
2015,6,90.055
2015,7,9.7182
2015,8,10.4586
2015,9,10.3424
2015,10,10.0671
2015,11,10.4306
2016,0,11.2304
2016,1,11.6015
2016,2,11.5928
2016,3,104.916
2016,4,10.1812
2016,5,100.228
2016,6,9.6598
2016,7,99.3422
2016,8,97.7127
2016,9,95.0422
2016,10,93.3705
2016,11,94.7321
2017,0,87.4229
2017,1,84.3175
2017,2,81.8233
2017,3,82.614
2017,4,82.4389
2017,5,87.1712
2017,6,88.2951
2017,7,89.0802
2017,8,87.3656
2017,9,87.0629
2017,10,88.4072
2017,11,88.4497
2018,0,87.489
2018,1,89.3654
2018,2,89.025
2018,3,91.2196
2018,4,99.9197
2018,5,96.8862
2018,6,94.8737
2018,7,91.3442
2018,8,99.6466
2018,9,95.4658
2018,10,94.0623
2018,11,9.5816
2019,0,98.4681
2019,1,98.3959
2019,2,96.3214
2019,3,96.0502
2019,4,94.2273
2019,5,91.8238
2019,6,92.0632
2019,7,93.0446
2019,8,90.4726
2019,9,90.4863
2019,10,91.1948
2019,11,88.5937
2020,0,88.8696
2020,1,91.0209
2020,2,9.5336
2020,3,10.7725
2020,4,103.13
2020,5,97.7322
2020,6,9.9581
2020,7,10.5204
2020,8,10.7682
2020,9,11.5671
2020,10,12.0259
2020,11,11.5754
2021,0,11.8024
2021,1,11.5232
2021,2,11.5268
2021,3,11.5036
2021,4,11.5594
2021,5,11.207
2021,6,11.329
2021,7,11.378
2021,8,11.2494
2021,9,11.0188
2021,10,11.7482
2021,11,11.6503
2022,0,11.7907
2022,1,12.1789
2022,2,14.8243
2022,3,13.1569
2022,4,104.877
2022,5,94.0696
2022,6,82.8897
2022,7,92.8229
2022,8,87.2611
2022,9,81.5532
2022,10,83.9469
2022,11,85.3746
2023,0,10.3077
2023,1,10.7928
2023,2,11.1847
2023,3,11.5659
2023,4,11.3615
2023,5,11.9894
2023,6,12.6891
2023,7,13.1311
2023,8,13.3587
2023,9,12.7071
2023,10,12.4527
2023,11,12.5762
